Country,State,Region,County,Designation
USA,California,FAR NORTH,"HUMBOLDT, TRINITY COUNTY",Willow Creek
USA,California,FAR NORTH,"SHASTA, TEHAMA COUNTY ",Inwood Valley
USA,California,FAR NORTH,,Manton Valley
USA,California,FAR NORTH,SISKIYOU COUNTY,Seiad Valley
USA,California,FAR NORTH,TRINITY COUNTY ,Trinity Lakes
USA,California,NORTH COAST,,North Coast
USA,California,NORTH COAST,LAKE COUNTY,Benmore Valley
USA,California,NORTH COAST,LAKE COUNTY,Big Valley District-Lake
USA,California,NORTH COAST,LAKE COUNTY,Clear Lake
USA,California,NORTH COAST,LAKE COUNTY,Guenoc Valley
USA,California,NORTH COAST,LAKE COUNTY,High Valley
USA,California,NORTH COAST,LAKE COUNTY,Kelsey Bench-Lake County
USA,California,NORTH COAST,LAKE COUNTY,Long Valley-Lake County
USA,California,NORTH COAST,LAKE COUNTY,Upper Lake Valley
USA,California,NORTH COAST,LAKE COUNTY,Red Hills Lake County
USA,California,NORTH COAST,MENDOCINO COUNTY,Anderson Valley
USA,California,NORTH COAST,MENDOCINO COUNTY,Cole Ranch
USA,California,NORTH COAST,MENDOCINO COUNTY,Comptche
USA,California,NORTH COAST,MENDOCINO COUNTY,Covelo
USA,California,NORTH COAST,MENDOCINO COUNTY,Dos Rios
USA,California,NORTH COAST,MENDOCINO COUNTY,Eagle Peak Mendocino
USA,California,NORTH COAST,MENDOCINO COUNTY,McDowell Valley
USA,California,NORTH COAST,MENDOCINO COUNTY,Mendocino
USA,California,NORTH COAST,MENDOCINO COUNTY,Mendocino Ridge
USA,California,NORTH COAST,"MENDOCINO, SONOMA COUNTY",Pine Mountain-Cloverdale Peak
USA,California,NORTH COAST,MENDOCINO COUNTY,Potter Valley
USA,California,NORTH COAST,MENDOCINO COUNTY,Redwood Valley
USA,California,NORTH COAST,MENDOCINO COUNTY,Yorkville Highlands
USA,California,NORTH COAST,NAPA COUNTY,Napa Valley
USA,California,NORTH COAST,NAPA COUNTY,Atlas Peak
USA,California,NORTH COAST,NAPA COUNTY,Calistoga
USA,California,NORTH COAST,NAPA COUNTY,Chiles Valley District
USA,California,NORTH COAST,NAPA COUNTY,Coombsville
USA,California,NORTH COAST,NAPA COUNTY,Diamond Mountain District
USA,California,NORTH COAST,NAPA COUNTY,Howell Mountain
USA,California,NORTH COAST,"NAPA, SONOMA COUNTY",Los Carneros
USA,California,NORTH COAST,NAPA COUNTY,Mount Veeder
USA,California,NORTH COAST,NAPA COUNTY,Oak Knoll District of Napa
USA,California,NORTH COAST,NAPA COUNTY,Oakville
USA,California,NORTH COAST,NAPA COUNTY,Rutherford
USA,California,NORTH COAST,NAPA COUNTY,Spring Mountain District
USA,California,NORTH COAST,NAPA COUNTY,St. Helena
USA,California,NORTH COAST,NAPA COUNTY,Stags Leap District
USA,California,NORTH COAST,"NAPA, SONOMA COUNTY",Wild Horse Valley
USA,California,NORTH COAST,NAPA COUNTY,Yountville
USA,California,NORTH COAST,SOLANO COUNTY,Solano County Green Valley
USA,California,NORTH COAST,SOLANO COUNTY,Suisun Valley
USA,California,NORTH COAST,SONOMA COUNTY,Alexander Valley
USA,California,NORTH COAST,SONOMA COUNTY,Bennett Valley
USA,California,NORTH COAST,SONOMA COUNTY,Chalk Hill
USA,California,NORTH COAST,SONOMA COUNTY,Dry Creek Valley
USA,California,NORTH COAST,SONOMA COUNTY,Fort Ross-Seaview
USA,California,NORTH COAST,SONOMA COUNTY,Fountaingrove District
USA,California,NORTH COAST,SONOMA COUNTY,Green Valley of Russian
USA,California,NORTH COAST,SONOMA COUNTY,Knights Valley
USA,California,NORTH COAST,SONOMA COUNTY,Moon Mountain District
USA,California,NORTH COAST,SONOMA COUNTY,Northern Sonoma
USA,California,NORTH COAST,"SONOMA, MARIN COUNTY",Petaluma Gap
USA,California,NORTH COAST,SONOMA COUNTY,Rockpile
USA,California,NORTH COAST,SONOMA COUNTY,Russian River Valley
USA,California,NORTH COAST,SONOMA COUNTY,Sonoma Coast
USA,California,NORTH COAST,SONOMA COUNTY,Sonoma Mountain
USA,California,NORTH COAST,SONOMA COUNTY,Sonoma Valley
USA,California,NORTH COAST,SONOMA COUNTY,West Sonoma Coast
USA,California,CENTRAL COAST,,Central Coast
USA,California,CENTRAL COAST,"ALAMEDA, CONTRA COSTA COUNTY",Livermore Valley
