Country,Region
France,Corsica
France,Alsace
France,Loire
France,South-west France
France,Beaujolais
France,Provence
France,Bordeaux
France,Burgundy
France,Savoie
France,Languedoc
France,Champagne
France,Rhône
France,Charente
France,Lorraine
France,Jura
France,Roussillon
USA,California
USA,ARIZONA
USA,ARKANSAS
USA,Bell Mountain
USA,COLORADO
USA,CONNECTICUT
USA,GEORGIA
USA,Hawaii
USA,IDAHO
USA,ILLINOIS
USA,INDIANA
USA,MARYLAND
USA,MASSACHUSETTS
USA,MICHIGAN
USA,MINNESOTA
USA,MISSOURI
USA,NEW JERSEY
USA,NEW MEXICO
USA,NEW YORK
USA,NORTH CAROLINA
USA,OHIO
USA,OREGON
USA,PENNSYLVANIA
USA,TENNESSEE
USA,VIRGINIA
USA,WASHINGTON
USA,WEST VIRGINIA
USA,WISCONSIN
USA,"Virginia, West Virginia"
USA,"Indiana, Kentucky, Ohio, West Virginia"
USA,"New York, Ohio, Pennsylvania"
USA,"Oregon, Washington"
USA,"New Jersey, Pennsylvania"
USA,"Connecticut, Rhode Island, Massachusetts"
USA,"Mississippi, Louisiana, Tennessee"
USA,"New Mexico, Texas"
USA,"Maryland, Pennsylvania"
USA,"Arkansas, Missouri, Oklahoma"
USA,"Idaho, Oregon"
USA,"Illinois, Iowa, Minnesota, Wisconsin"
USA,"Georgia, North Carolina"
USA,"Iowa, Missouri"
USA,"Idaho, Washington"
USA,"North Carolina, Tennessee, Virginia"
Italy,Abruzzo
Italy,Basilicata
Italy,Calabria
Italy,Campania
Italy,Emilia-Romagna
Italy,Friuli-Venezia Giulia
Italy,Lazio
Italy,Liguria
Italy,Lombardia
Italy,Marche
Italy,Molise
Italy,Piemonte
Italy,Puglia
Italy,Sardegna
Italy,Sicilia
Italy,Toscana
Italy,Trentino-Alto Adige
Italy,Umbria
Italy,Valle d'Aosta
Italy,Veneto
Spain,Aragón
Spain,Castilla-La Mancha
Spain,Comunitat Valenciana
Spain,Navarra
Spain,Catalunya
Spain,"La Rioja, Navarra, and Euskadi (Basque Country)"
Spain,Islas Canarias
Spain,Castilla y León
Spain,Illes Balears (Balearic Islands)
Spain,Murcia
Spain,"Aragón, Catalunya, Comunitat Valenciana, Extremadura, La Rioja, Navarra, Euskadi (Basque Country)"
Spain,Andalucía
Spain,"Castilla-La Mancha, Murcia"
Spain,Galicia
Spain,Extremadura
Spain,Euskadi (Basque Country)
Spain,Comunidad de Madrid
Spain,Asturias
Spain,Cantabria
Spain,La Rioja
Australia,Western Australia
Australia,South Australia
Australia,Queensland
Australia,New South Wales
Australia,Victoria
Australia,Tasmania
Brazil,"Vale do São Francisco"
Brazil,Planalto Catarinense
Brazil,"Campos de Cima da Serra"
Brazil,"Serra Gaúcha"
Brazil,Campanha
Brazil,Serra do Sudeste
Brazil,Altos Montes
Brazil,Pinto Bandeira
Brazil,Farroupilha
Brazil,Monte Belo
Chile,ATACAMA Region
Chile,COQUIMBO Region
Chile,ACONCAGUA Region
Chile,CENTRAL VALLEY Region
Chile,SOUTH Region
Chile,AUSTRAL Region
Germany,Rheinland-Pfalz
Germany,Baden-Württemberg
Germany,Hessen
Germany,Rheinland-Pfalz / Hessen
Germany,Bayern
Germany,Sachsen
Germany,Sachsen-Anhalt
Germany,Nordrhein-Westfalen / Rheinland-Pfalz
Argentina,Jujuy
Argentina,Salta
Argentina,Tucumán
Argentina,Catamarca
Argentina,San Juan
Argentina,Mendoza
Argentina,La Pampa
Argentina,Neuquén
Argentina,Río Negro
Argentina,Chubut
Argentina,Buenos Aires
Hungary,Tokaj
Hungary,Upper Hungary
Hungary,Danube
Hungary,Upper Pannon
Hungary,Pannon
Hungary,Balaton
New Zealand,
New Zealand,North Island
New Zealand,South Island
Portugal,Vinho Verde
Portugal,Trás-os-Montes
Portugal,Porto and Douro
Portugal,Távora and Varosa
Portugal,Dão and Lafões
Portugal,Bairrada
Portugal,Beira Interior
Portugal,"Lisboa"
Portugal,Tejo
Portugal,Península de Setúbal
Portugal,Alentejo
Portugal,Algarve
Portugal,Madeira
Portugal,Açores
Romaina,BANAT
Romaina,CRISANA & MARAMURES
Romaina,DOBROGEA
Romaina,MOLDOVA
Romaina,MUNTENIA
Romaina,OLTENIA
Romaina,TRANSILVANIA
Austria,Niederösterreich (Lower Austria)
Austria,Burgenland 
Austria,Steiermark (Styria)
Austria,Wein (Vienna)
Georgia,Kakheti
Georgia,Kartli
Georgia,Racha
Georgia,Samegrelo
Georgia,Imereti
Georgia,Lechkhumi
Greece,Macedonia
Greece,Epirus
Greece,Thessaly
Greece,Peloponnese
Greece,Ionian Islands
Greece,Aegean Islans
Greece,Crete
Greece,Thrace
Greece,Sterea Ellada
Greece,Aegean Sea Islands
Switzerland,Vaud
Switzerland,Three Lakes
Switzerland,German-speaking Switzerland
Switzerland,The wine region Geneva
Switzerland,Ticino
Switzerland,Valais
